skin_concern,skin_type,home_remedy,chemical_product
Dark Spots (Hyperpigmentation),Normal,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Avobenzone	Benzoyl Peroxide	Salicylic Acid	Triclosan	Ferulic Acid"
Dark Spots (Hyperpigmentation),Normal,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Sodium PCA	Titanium Dioxide	Ceramides	Triclosan	Vitamin C"
Dark Spots (Hyperpigmentation),Normal,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Tartaric Acid	Triclosan	Carbomer	Niacinamide	Triethanolamine"
Dark Spots (Hyperpigmentation),Normal,"	Papaya	Banana	Milk	Honey	Oatmeal","	Licorice Extract	Glycolic Acid	Salicylic Acid	Niacinamide	Zinc Oxide"
Dark Spots (Hyperpigmentation),Normal,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Titanium Dioxide	Gluconolactone	Octinoxate	Salicylic Acid	Butylene Glycol"
Dark Spots (Hyperpigmentation),Normal,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Kojic Acid	Glycerin	Sodium Hydroxide	Squalane	Carbomer"
Dark Spots (Hyperpigmentation),Normal,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Allantoin	Titanium Dioxide	BHA (Beta Hydroxy Acid)	Triethanolamine	Ferulic Acid"
Dark Spots (Hyperpigmentation),Sensitive,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Hyaluronic Acid	Dimethyl Sulfone	Alpha Arbutin	Squalane	Licorice Extract"
Dark Spots (Hyperpigmentation),Sensitive,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Cyclopentasiloxane	Ferulic Acid	Peptides	Zinc Oxide	Dimethyl Sulfone"
Dark Spots (Hyperpigmentation),Sensitive,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Cyclopentasiloxane	Vitamin C	Niacinamide	Citric Acid	Hydroquinone"
Dark Spots (Hyperpigmentation),Sensitive,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Hydroquinone	Octinoxate	Panthenol	Glycolic Acid	Caprylic Acid"
Dark Spots (Hyperpigmentation),Sensitive,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	AHA (Alpha Hydroxy Acid)	Carbomer	Benzoyl Peroxide	Citric Acid	Niacinamide"
Dark Spots (Hyperpigmentation),Sensitive,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Butylene Glycol	Resveratrol	Avobenzone	Oxybenzone	Tocopherol"
Dark Spots (Hyperpigmentation),Sensitive,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	BHT (Butylated Hydroxytoluene)	Kojic Acid	Glycerin	Retinol	Glycolic Acid"
Dark Spots (Hyperpigmentation),Combinational,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Benzoic Acid	Titanium Dioxide	Disodium EDTA	Resveratrol	Niacinamide"
Dark Spots (Hyperpigmentation),Combinational,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Titanium Dioxide	Vitamin C	Citric Acid	Ferulic Acid	AHA (Alpha Hydroxy Acid)"
Dark Spots (Hyperpigmentation),Combinational,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Avobenzone	Tocopherol	Alpha Arbutin	Hydroquinone	Zinc Oxide"
Dark Spots (Hyperpigmentation),Combinational,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Benzoic Acid	Ferulic Acid	Squalane	Tartaric Acid	Sodium Hydroxide"
Dark Spots (Hyperpigmentation),Combinational,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Retinol	Octinoxate	Avobenzone	Alpha Arbutin	Carbomer"
Dark Spots (Hyperpigmentation),Combinational,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Caprylic Acid	Sodium PCA	Alpha Arbutin	AHA (Alpha Hydroxy Acid)	Citric Acid"
Dark Spots (Hyperpigmentation),Combinational,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Ferulic Acid	Avobenzone	Squalane	Butylene Glycol	Titanium Dioxide"
Dark Spots (Hyperpigmentation),Dry,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Tartaric Acid	Dimethicone	Disodium EDTA	Lactic Acid	Titanium Dioxide"
